ANTI-ARC-X -- sealed profile: 20 gated points, halt None
 i         A2         rate        V_pt    f_dir        om2      RMS
 0 0.0020024 +2.1410e-03 1.2104e-02 0.75886 -1.110632 9.0e-09
 1 0.0021736 +2.1401e-03 1.2099e-02 0.75886 -1.110633 4.7e-09
 2 0.0023448 +2.1406e-03 1.2126e-02 0.76215 -1.110633 6.6e-09
 3 0.0025162 +2.1423e-03 1.2140e-02 0.76395 -1.110633 5.1e-09
 4 0.0026875 +2.1421e-03 1.2139e-02 0.76395 -1.110633 6.9e-09
 5 0.0028589 +2.1423e-03 1.2164e-02 0.76699 -1.110633 7.7e-09
 6 0.0030303 +2.1429e-03 1.2172e-02 0.76797 -1.110634 6.5e-09
 7 0.0032018 +2.1429e-03 1.2171e-02 0.76796 -1.110634 7.6e-09
 8 0.0033732 +2.1427e-03 1.2190e-02 0.77026 -1.110634 9.2e-09
 9 0.0035446 +2.1434e-03 1.2200e-02 0.77158 -1.110634 6.3e-09
10 0.0037161 +2.1433e-03 1.2200e-02 0.77158 -1.110634 5.9e-09
11 0.0038876 +2.1433e-03 1.2200e-02 0.77156 -1.110634 8.0e-09
12 0.0040590 +2.1429e-03 1.2230e-02 0.77525 -1.110634 7.6e-09
13 0.0042304 +2.1432e-03 1.2223e-02 0.77450 -1.110634 9.1e-09
14 0.0044019 +2.1434e-03 1.2230e-02 0.77540 -1.110634 8.6e-09
15 0.0045734 +2.1433e-03 1.2230e-02 0.77539 -1.110634 9.9e-09
16 0.0047448 +2.1432e-03 1.2245e-02 0.77722 -1.110635 9.3e-09
17 0.0049163 +2.1429e-03 1.2244e-02 0.77717 -1.110635 8.1e-09
18 0.0050877 +2.1428e-03 1.2244e-02 0.77716 -1.110635 7.7e-09
19 0.0052591 +2.1428e-03 1.2244e-02 0.77713 -1.110635 8.3e-09

C1 on the 20-point profile: f_dir rise = +0.0172 vs +0.15;  A2_max = 0.00526 (licence >= 0.0052)
** ANTI-FLAT (LICENSED) **
